M1M2M3M4,E_homo,G_homo,E_M1,G_M1,E_M2,G_M2,E_M3,G_M3,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
NiCuCu,117.61,160.28,124,178.14,125.91,185.68,113.98,176.6,160.28,1.01354,0.92393,0.88502,-0.84232,0.77345,1.6373,0.5623,0.4904,0.64392,0.4214,-2.31142,-2.52906,-2.57433,-3.04247,-2.11226,3.873469,0.84231,0.84231,1.924949326,1.956829907,1.905431528,89.41397707,127.3834112,109.5262221,-34.92821452,10,11,11
NiCuFe,NaN,NaN,140.02,210.7,119.37,185.47,134.83,191.66,185.47,0.93384,0.93292,0.93205,-0.88076,0.76305,0.0317,-0.5588,3.4675,-0.05725,-0.4411,-2.41857,-3.44393,-3.59038,-3.8653,-3.04307,0.778863,0.859865,0.778863,1.981296459,1.968821306,1.818190815,87.96799831,125.8182312,109.4872337,-37.39733352,10,11,8
NiCuMn,162.67,207.22,122.9,187.28,120.6,187.22,87.73,159.37,159.37,1.02615,0.94518,0.89978,-0.86049,0.78653,1.6075,0.566,-2.9006,0.32663,0.4497,-3.54814,-3.92148,-2.85834,-4.56798,-3.36556,1.621188,0.933035,0.933035,1.942881796,1.94169805,1.893595923,89.73639249,133.3682554,114.6996158,-29.36838281,10,11,7
NiCuNi,161.83,207.8,124.9,188.57,106.3,170.41,68.39,140.5,140.5,1.01681,0.91898,1.0065,-0.92552,0.80657,1.6194,0.5506,1.6185,0.50718,0.4436,-2.25693,-2.51498,-2.59611,-3.03053,-2.13559,3.853575,1.252418,1.252418,1.953709004,1.956993293,1.83721816,87.06185892,124.1825567,115.4897883,-38.56948209,10,11,10
NiCuZn,NaN,NaN,117.53,180.1,114.73,172.59,88.01,158.33,158.33,1.02975,0.92587,1.19725,-1.025,0.77767,1.6242,0.5615,0.0027,0.32926,0.4194,-2.20856,-2.52308,-6.02794,-2.74586,-2.09947,3.651257,1.248878,1.248878,1.936607966,1.945130188,1.874048423,88.5833946,127.3412417,107.7601507,-35.73895862,10,11,12
NiFeCo,174.83,225.69,118.17,181.36,122.97,190.12,103.33,161.28,161.28,0.97729,1.11214,0.96657,-0.90325,0.58947,1.6329,3.8737,2.5823,0.52764,0.1587,-2.68239,-4.65418,-2.85027,-3.30115,-1.68483,3.490223,0.881528,0.881528,1.990961508,1.975204009,1.894075463,83.83527014,123.2847133,106.1346395,-41.08453777,10,8,9
NiFeFe,NaN,NaN,126.84,187.58,139.63,206.86,125.78,183.73,183.73,0.98144,1.01466,1.0277,-0.89451,0.57481,1.636,3.7846,3.6873,0.52531,0.1455,-2.91122,-4.57903,-3.92514,-3.58341,-1.89906,3.270829,0.666226,0.666226,1.99431507,2.034577862,1.846648092,83.14232627,125.1024956,97.08540757,-39.07712785,10,8,8
NiFeZn,183.65,235.59,119.28,179.32,120.48,188.64,107.28,168.34,168.34,0.97857,1.11489,1.19382,-0.98601,0.54768,1.6282,3.8753,0.0129,0.37059,0.0887,-2.79509,-4.76015,-6.83757,-3.46206,-1.49822,2.911403,0.773402,0.773402,1.994301674,1.940285905,1.905228981,84.01543815,125.2940491,110.4163266,-39.9178946,10,8,12
NiMnCo,197.61,247.79,128.49,193.25,130.48,196.81,103.15,163.61,163.61,0.95579,1.04848,0.98309,-0.88711,0.57964,1.5955,3.7141,2.6013,0.33979,0.0615,-2.6564,-3.9137,-3.24678,-3.84094,-1.57286,1.392249,0.920531,0.920531,2.00150741,1.902691472,1.901927722,88.21311787,116.3497469,109.3324813,-44.39897292,10,7,9
NiMnCu,150.79,200.43,114.85,183.24,131.9,200.78,131.23,191.5,183.24,0.99085,1.02692,0.65495,-0.83394,0.76915,1.6438,3.697,0.0486,0.20459,0.4638,-2.81731,-3.28114,-1.47164,-3.47215,-2.67386,1.301507,0.453276,0.453276,1.972570599,1.840324344,2.131594262,92.57513111,130.4570115,121.6552371,-27.30116958,10,7,11
